,Probe_ID,statistic,pvalue,adj_p_value
944,224009_x_at,1.49845287,1.48E-01,1.00E+00
13,1553296_at,1.477192657,1.57E-01,1.00E+00
301,205373_at,1.476927232,1.50E-01,1.00E+00
628,213094_at,1.474436932,1.69E-01,1.00E+00
413,206442_at,1.473406018,1.53E-01,1.00E+00
47,1555963_x_at,1.464422103,1.60E-01,1.00E+00
130,202965_s_at,1.462808475,1.54E-01,1.00E+00
316,205513_at,1.448691219,1.71E-01,1.00E+00
830,219987_at,1.44390204,1.64E-01,1.00E+00
32,1554781_at,1.438477019,1.65E-01,1.00E+00
808,219759_at,1.429342837,1.71E-01,1.00E+00
8,1552797_s_at,1.425813406,1.76E-01,1.00E+00
835,220051_at,1.415677263,1.67E-01,1.00E+00
552,210147_at,1.413850522,1.74E-01,1.00E+00
448,207052_at,1.412912664,1.68E-01,1.00E+00
1060,227499_at,1.40057663,1.83E-01,1.00E+00
106,202203_s_at,1.365357334,1.97E-01,1.00E+00
1473,244567_at,1.350318162,1.88E-01,1.00E+00
1242,231814_at,1.34592204,2.01E-01,1.00E+00
1468,244107_at,1.345354467,1.90E-01,1.00E+00
150,203619_s_at,1.341979956,1.94E-01,1.00E+00
1184,229797_at,1.339639277,1.90E-01,1.00E+00
777,218625_at,1.331045421,1.93E-01,1.00E+00
1105,228233_at,1.330809121,1.95E-01,1.00E+00
654,213714_at,1.320656947,2.09E-01,1.00E+00
1259,232277_at,1.319874734,2.09E-01,1.00E+00
154,203697_at,1.30029648,2.04E-01,1.00E+00
854,220639_at,1.265395796,2.18E-01,1.00E+00
390,206172_at,1.259260064,2.20E-01,1.00E+00
82,1569532_a_at,1.257809001,2.21E-01,1.00E+00
1407,239884_at,1.251496285,2.30E-01,1.00E+00
1187,229831_at,1.245435431,2.30E-01,1.00E+00
426,206641_at,1.243165278,2.27E-01,1.00E+00
1033,227051_at,1.230980676,2.40E-01,1.00E+00
1392,238878_at,1.228412076,2.30E-01,1.00E+00
50,1556194_a_at,1.206820553,2.40E-01,1.00E+00
1241,231786_at,1.183929387,2.49E-01,1.00E+00
45,1555890_at,1.174272725,2.59E-01,1.00E+00
404,206291_at,1.172738057,2.50E-01,1.00E+00
918,223509_at,1.169796209,2.58E-01,1.00E+00
30,1554726_at,1.14051253,2.66E-01,1.00E+00
972,225619_at,1.137356074,2.65E-01,1.00E+00
629,213110_s_at,1.115890068,2.77E-01,1.00E+00
172,203999_at,1.11496659,2.74E-01,1.00E+00
1246,231925_at,1.112067792,2.80E-01,1.00E+00
281,205199_at,1.106944976,2.87E-01,1.00E+00
49,1556054_at,1.097824992,2.86E-01,1.00E+00
1335,235947_at,1.085797927,2.92E-01,1.00E+00
1055,227450_at,1.075726204,3.00E-01,1.00E+00
235,204720_s_at,1.061213326,2.98E-01,1.00E+00
569,210619_s_at,1.059910691,3.06E-01,1.00E+00
1318,235515_at,1.048335373,3.07E-01,1.00E+00
871,221345_at,1.045942323,3.05E-01,1.00E+00
42,1555772_a_at,1.045622775,3.12E-01,1.00E+00
814,219795_at,1.038253778,3.23E-01,1.00E+00
557,210258_at,1.037341993,3.09E-01,1.00E+00
545,210118_s_at,1.036491671,3.17E-01,1.00E+00
