"","Gene","statistic","pvalue","adj_p_value"
"88","1552410_at","-7.382907e-01","4.694469e-01","1.000000e+00"
"89","1552412_a_at"," 2.980939e-01","7.697864e-01","1.000000e+00"
"90","1552414_at"," 9.713322e-01","3.473398e-01","1.000000e+00"
"91","1552415_a_at"," 1.658547e+00","1.109658e-01","1.000000e+00"
"92","1552417_a_at","-3.608908e-02","9.714519e-01","1.000000e+00"
"93","1552418_at"," 2.081632e+00","5.540185e-02","1.000000e+00"
"94","1552419_s_at"," 9.765426e-01","3.456464e-01","1.000000e+00"
"95","1552421_a_at"," 2.531381e+00","1.712315e-02","1.000000e+00"
"96","1552424_at","-1.211517e+00","2.479434e-01","1.000000e+00"
"97","1552425_a_at"," 7.733801e-01","4.479893e-01","1.000000e+00"
"98","1552426_a_at"," 1.933130e-01","8.499372e-01","1.000000e+00"
"99","1552427_at"," 4.005431e+00","3.839932e-04","1.000000e+00"
"100","1552430_at"," 1.288873e+00","2.179567e-01","1.000000e+00"
"101","1552432_at"," 7.319181e-01","4.752943e-01","1.000000e+00"
"102","1552436_a_at"," 2.874073e-01","7.779320e-01","1.000000e+00"
"103","1552438_a_at","-7.864399e-01","4.401303e-01","1.000000e+00"
"104","1552439_s_at"," 1.898150e+00","7.261275e-02","1.000000e+00"
"105","1552440_at","-6.298524e-01","5.380462e-01","1.000000e+00"
"106","1552445_a_at"," 8.051503e-01","4.268198e-01","1.000000e+00"
"107","1552448_a_at"," 6.124634e-01","5.482412e-01","1.000000e+00"
"108","1552449_a_at"," 3.621984e-01","7.210122e-01","1.000000e+00"
"109","1552450_a_at"," 1.428264e+00","1.803684e-01","1.000000e+00"
"110","1552452_at"," 7.621531e-01","4.578378e-01","1.000000e+00"
"111","1552453_a_at"," 1.511746e+00","1.481976e-01","1.000000e+00"
"112","1552455_at"," 1.810884e+00","8.961763e-02","1.000000e+00"
"113","1552456_a_at"," 2.047628e+00","6.038558e-02","1.000000e+00"
"114","1552458_at"," 1.405935e-01","8.905744e-01","1.000000e+00"
"115","1552459_a_at"," 1.634143e+00","1.204395e-01","1.000000e+00"
"116","1552461_at"," 1.000298e+00","3.316896e-01","1.000000e+00"
"117","1552463_at"," 1.742833e+00","1.014502e-01","1.000000e+00"
"118","1552466_x_at"," 7.389185e-01","4.720474e-01","1.000000e+00"
"119","1552467_at"," 4.342025e-01","6.697540e-01","1.000000e+00"
"120","1552468_a_at","-7.583102e-01","4.622448e-01","1.000000e+00"
"121","1552470_a_at"," 1.581586e+00","1.306026e-01","1.000000e+00"
"122","1552474_a_at","-1.623539e+00","1.293810e-01","1.000000e+00"
"123","1552476_s_at"," 1.581434e+00","1.282776e-01","1.000000e+00"
"124","1552477_a_at"," 2.314983e+00","3.933848e-02","1.000000e+00"
"125","1552478_a_at"," 3.236816e+00","6.006308e-03","1.000000e+00"
"126","1552480_s_at","-8.285323e-01","4.168496e-01","1.000000e+00"
"127","1552481_s_at"," 5.305253e-01","6.045551e-01","1.000000e+00"
"128","1552482_at","-9.128140e-01","3.819722e-01","1.000000e+00"
"129","1552484_at"," 1.847823e+00","8.858207e-02","1.000000e+00"
"130","1552485_at","-1.358554e+00","1.989311e-01","1.000000e+00"
"131","1552486_s_at"," 2.182522e-01","8.303906e-01","1.000000e+00"
"132","1552487_a_at"," 5.406891e-01","5.976294e-01","1.000000e+00"
