"","Gene","statistic","pvalue","adj_p_value"
"13217","206448_at","-2.904421e+00","1.706418e-02","1.000000e+00"
"13218","206449_s_at"," 1.184954e+00","2.502504e-01","1.000000e+00"
"13219","206453_s_at"," 4.540289e+00","1.176881e-04","1.000000e+00"
"13220","206454_s_at"," 4.352019e-01","6.699433e-01","1.000000e+00"
"13221","206455_s_at"," 1.004577e+00","3.366561e-01","1.000000e+00"
"13222","206456_at"," 4.069779e-01","6.867434e-01","1.000000e+00"
"13223","206457_s_at"," 4.997867e-01","6.256706e-01","1.000000e+00"
"13224","206459_s_at"," 1.018745e+00","3.252578e-01","1.000000e+00"
"13225","206460_at","-6.743278e-01","5.102699e-01","1.000000e+00"
"13226","206461_x_at","-1.317613e-01","8.967451e-01","1.000000e+00"
"13227","206462_s_at"," 3.513368e-01","7.316827e-01","1.000000e+00"
"13228","206463_s_at","-1.363030e-01","8.938935e-01","1.000000e+00"
"13229","206464_at"," 1.573573e+00","1.279908e-01","1.000000e+00"
"13230","206465_at","-4.945154e-01","6.284035e-01","1.000000e+00"
"13231","206466_at","-4.937932e-01","6.277281e-01","1.000000e+00"
"13232","206467_x_at","-6.073421e-01","5.528949e-01","1.000000e+00"
"13233","206469_x_at"," 2.329490e+00","3.377342e-02","1.000000e+00"
"13234","206470_at","-3.200581e+00","9.489256e-03","1.000000e+00"
"13235","206471_s_at","-3.393367e+00","7.015004e-03","1.000000e+00"
"13236","206472_s_at","-1.438667e+00","1.771973e-01","1.000000e+00"
"13237","206474_at","-1.610704e+00","1.258071e-01","1.000000e+00"
"13238","206475_x_at"," 1.185953e+00","2.590703e-01","1.000000e+00"
"13239","206476_s_at"," 7.419931e-01","4.706992e-01","1.000000e+00"
"13240","206477_s_at","-1.232594e+00","2.354599e-01","1.000000e+00"
"13241","206478_at","-3.778861e-01","7.117722e-01","1.000000e+00"
"13242","206479_at"," 1.406063e+00","1.772020e-01","1.000000e+00"
"13243","206480_at","-3.626191e+00","2.849490e-03","1.000000e+00"
"13244","206481_s_at","-6.398617e+00","2.159589e-05","9.144565e-01"
"13245","206482_at"," 2.296935e+00","3.957919e-02","1.000000e+00"
"13246","206483_at"," 3.815786e-01","7.071625e-01","1.000000e+00"
"13247","206484_s_at","-2.003109e-01","8.444840e-01","1.000000e+00"
"13248","206486_at","-2.966726e+00","1.139555e-02","1.000000e+00"
"13249","206487_at","-5.485013e-01","5.926107e-01","1.000000e+00"
"13250","206488_s_at","-3.978849e+00","1.680243e-03","1.000000e+00"
"13251","206489_s_at"," 1.190242e+00","2.512590e-01","1.000000e+00"
"13252","206490_at"," 1.246345e+00","2.228564e-01","1.000000e+00"
"13253","206491_s_at"," 1.248386e+00","2.302505e-01","1.000000e+00"
"13254","206492_at"," 2.489898e+00","2.109121e-02","1.000000e+00"
"13255","206494_s_at"," 2.052172e+00","5.098779e-02","1.000000e+00"
"13256","206496_at","-2.536097e+00","2.775334e-02","1.000000e+00"
"13257","206497_at"," 8.790637e-01","3.936455e-01","1.000000e+00"
"13258","206498_at"," 1.919427e+00","6.416354e-02","1.000000e+00"
"13259","206499_s_at"," 2.766768e+00","1.121039e-02","1.000000e+00"
"13260","206500_s_at"," 2.086588e+00","4.690384e-02","1.000000e+00"
"13261","206501_x_at","-1.813027e+00","9.201856e-02","1.000000e+00"
"13262","206502_s_at"," 7.892704e-01","4.399050e-01","1.000000e+00"
"13263","206503_x_at","-5.298760e-01","6.051769e-01","1.000000e+00"
"13264","206504_at","-8.856519e-01","3.968362e-01","1.000000e+00"
"13265","206505_at"," 1.937094e+00","6.403786e-02","1.000000e+00"
"13266","206507_at"," 2.117144e+00","4.798466e-02","1.000000e+00"
"13267","206509_at","-1.327049e-01","8.966500e-01","1.000000e+00"
"13268","206510_at"," 1.269295e+00","2.135355e-01","1.000000e+00"
"13269","206511_s_at"," 1.237690e+00","2.292878e-01","1.000000e+00"
"13270","206512_at","-8.594797e-01","4.088743e-01","1.000000e+00"
"13271","206513_at","-1.361301e+00","1.912117e-01","1.000000e+00"
"13272","206514_s_at","-1.046663e+00","3.194017e-01","1.000000e+00"
"13273","206515_at","-9.560850e-01","3.538426e-01","1.000000e+00"
"13274","206517_at","-2.933752e-01","7.744216e-01","1.000000e+00"
"13275","206518_s_at"," 1.002265e+00","3.255784e-01","1.000000e+00"
"13276","206519_x_at"," 2.080327e+00","5.171518e-02","1.000000e+00"
"13277","206520_x_at"," 1.378755e+00","1.846538e-01","1.000000e+00"
"13278","206521_s_at"," 1.070950e+00","3.069655e-01","1.000000e+00"
"13279","206522_at","-5.798642e-01","5.738573e-01","1.000000e+00"
"13280","206523_at","-2.236996e+00","4.520041e-02","1.000000e+00"
"13281","206524_at"," 9.228940e-01","3.709397e-01","1.000000e+00"
"13282","206525_at"," 5.712259e-01","5.745929e-01","1.000000e+00"
"13283","206526_at"," 2.997441e+00","7.409729e-03","1.000000e+00"
"13284","206528_at","-4.428951e+00","8.298470e-04","1.000000e+00"
"13285","206532_at","-8.354369e-01","4.142241e-01","1.000000e+00"
"13286","206533_at"," 3.210104e+00","3.307890e-03","1.000000e+00"
"13287","206534_at"," 8.217400e-01","4.278237e-01","1.000000e+00"
"13288","206535_at"," 7.352881e-01","4.730787e-01","1.000000e+00"
"13289","206536_s_at","-1.109402e+00","2.766652e-01","1.000000e+00"
"13290","206537_at","-6.694842e-01","5.125549e-01","1.000000e+00"
"13291","206539_s_at"," 2.242717e+00","3.336937e-02","1.000000e+00"
"13292","206543_at","-1.645509e-01","8.710155e-01","1.000000e+00"
"13293","206544_x_at","-9.196739e-01","3.685631e-01","1.000000e+00"
"13294","206545_at","-2.273730e+00","4.167858e-02","1.000000e+00"
"13295","206546_at","-1.144630e+00","2.793134e-01","1.000000e+00"
"13296","206547_s_at","-2.586732e+00","2.867276e-02","1.000000e+00"
"13297","206548_at"," 1.672406e-01","8.699609e-01","1.000000e+00"
"13298","206549_at","-1.158840e+00","2.660269e-01","1.000000e+00"
"13299","206552_s_at","-1.295434e+00","2.207716e-01","1.000000e+00"
"13300","206553_at","-2.733646e+00","1.815810e-02","1.000000e+00"
"13301","206554_x_at"," 1.545935e+00","1.424963e-01","1.000000e+00"
"13302","206555_s_at"," 3.340024e-01","7.422655e-01","1.000000e+00"
"13303","206556_at"," 3.602653e-01","7.251668e-01","1.000000e+00"
"13304","206557_at"," 1.506307e+00","1.440246e-01","1.000000e+00"
"13305","206558_at"," 2.217387e+00","3.897536e-02","1.000000e+00"
"13306","206559_x_at"," 8.422969e-01","4.100258e-01","1.000000e+00"
"13307","206560_s_at","-1.242946e+00","2.388327e-01","1.000000e+00"
"13308","206561_s_at"," 2.828077e+00","1.304655e-02","1.000000e+00"
"13309","206563_s_at"," 1.614433e+00","1.280665e-01","1.000000e+00"
"13310","206564_at"," 6.410477e-01","5.269072e-01","1.000000e+00"
"13311","206565_x_at","-4.213310e-01","6.795331e-01","1.000000e+00"
"13312","206568_at"," 7.354771e-01","4.752807e-01","1.000000e+00"
"13313","206569_at","-1.499326e+00","1.621469e-01","1.000000e+00"
"13314","206570_s_at"," 3.333372e-01","7.432459e-01","1.000000e+00"
"13315","206571_s_at","-4.563272e+00","4.830648e-04","1.000000e+00"
"13316","206572_x_at","-7.566277e-01","4.590496e-01","1.000000e+00"
"13317","206573_at"," 2.616255e-01","7.976784e-01","1.000000e+00"
"13318","206574_s_at","-2.072093e+00","5.173283e-02","1.000000e+00"
"13319","206575_at"," 4.359576e-02","9.659010e-01","1.000000e+00"
"13320","206576_s_at"," 2.231729e+00","4.152851e-02","1.000000e+00"
"13321","206577_at","-1.302772e+00","2.203609e-01","1.000000e+00"
"13322","206578_at","-9.721984e-02","9.237667e-01","1.000000e+00"
"13323","206580_s_at","-9.242729e+00","2.002650e-07","8.611998e-03"
"13324","206581_at"," 1.203811e+00","2.442598e-01","1.000000e+00"
"13325","206582_s_at"," 2.132361e+00","4.945108e-02","1.000000e+00"
"13326","206583_at","-1.625406e+00","1.226635e-01","1.000000e+00"
"13327","206584_at","-7.175140e+00","1.960385e-07","8.430636e-03"
"13328","206585_at"," 2.111919e+00","5.199977e-02","1.000000e+00"
"13329","206586_at"," 1.530904e+00","1.449981e-01","1.000000e+00"
"13330","206587_at"," 2.834219e+00","9.865815e-03","1.000000e+00"
"13331","206588_at","-1.990618e+00","6.582271e-02","1.000000e+00"
"13332","206589_at"," 2.539317e+00","1.944337e-02","1.000000e+00"
"13333","206590_x_at"," 4.377051e-01","6.675617e-01","1.000000e+00"
"13334","206591_at"," 5.466223e-01","5.934977e-01","1.000000e+00"
"13335","206594_at"," 6.043946e-01","5.567098e-01","1.000000e+00"
"13336","206595_at","-1.889043e+00","8.844322e-02","1.000000e+00"
"13337","206596_s_at"," 2.502556e+00","2.383622e-02","1.000000e+00"
"13338","206597_at"," 1.534329e+00","1.470397e-01","1.000000e+00"
"13339","206598_at"," 1.199300e+00","2.471337e-01","1.000000e+00"
"13340","206599_at"," 3.058495e+00","5.037371e-03","1.000000e+00"
"13341","206600_s_at"," 2.458524e+00","2.243049e-02","1.000000e+00"
"13342","206602_s_at"," 1.327192e+00","2.025151e-01","1.000000e+00"
"13343","206603_at"," 8.777726e-01","3.935262e-01","1.000000e+00"
"13344","206605_at"," 2.587087e+00","1.540962e-02","1.000000e+00"
"13345","206606_at"," 1.161826e-01","9.084356e-01","1.000000e+00"
"13346","206607_at"," 1.306220e+00","2.078659e-01","1.000000e+00"
"13347","206608_s_at"," 7.049247e-01","4.896985e-01","1.000000e+00"
"13348","206609_at","-1.995598e-01","8.441663e-01","1.000000e+00"
"13349","206611_at"," 6.790157e-02","9.468264e-01","1.000000e+00"
"13350","206612_at"," 4.343037e-01","6.690962e-01","1.000000e+00"
"13351","206613_s_at","-3.230644e-01","7.505431e-01","1.000000e+00"
"13352","206614_at","-1.546149e-01","8.799770e-01","1.000000e+00"
"13353","206615_s_at","-4.568553e-01","6.560397e-01","1.000000e+00"
"13354","206616_s_at"," 1.658477e+00","1.185853e-01","1.000000e+00"
"13355","206618_at","-1.527945e+00","1.473173e-01","1.000000e+00"
"13356","206619_at"," 3.643894e+00","9.750728e-04","1.000000e+00"
"13357","206621_s_at"," 2.517092e-01","8.045096e-01","1.000000e+00"
"13358","206622_at"," 3.172962e+00","5.466775e-03","1.000000e+00"
"13359","206624_at","-1.176867e+00","2.550056e-01","1.000000e+00"
"13360","206626_x_at"," 1.183735e+00","2.452468e-01","1.000000e+00"
"13361","206627_s_at","-5.298927e-01","6.062227e-01","1.000000e+00"
"13362","206628_at"," 3.038775e+00","8.007158e-03","1.000000e+00"
"13363","206630_at"," 7.012278e-01","4.969858e-01","1.000000e+00"
"13364","206631_at"," 2.821085e+00","9.339446e-03","1.000000e+00"
"13365","206632_s_at"," 2.090505e+00","5.071100e-02","1.000000e+00"
"13366","206634_at"," 5.008312e-01","6.242535e-01","1.000000e+00"
"13367","206635_at"," 1.657034e+00","1.213298e-01","1.000000e+00"
"13368","206637_at","-1.806038e+00","8.484835e-02","1.000000e+00"
"13369","206638_at","-3.650820e+00","5.141709e-03","1.000000e+00"
"13370","206639_x_at","-1.175189e+00","2.543324e-01","1.000000e+00"
"13371","206640_x_at"," 8.777186e-01","3.894442e-01","1.000000e+00"
"13372","206641_at"," 1.243165e+00","2.273184e-01","1.000000e+00"
"13373","206642_at"," 1.953323e+00","6.077225e-02","1.000000e+00"
"13374","206643_at","-8.831052e-01","3.924224e-01","1.000000e+00"
"13375","206644_at"," 1.511683e+00","1.565093e-01","1.000000e+00"
"13376","206645_s_at","-4.043849e-01","6.900506e-01","1.000000e+00"
"13377","206646_at","-2.119276e+00","5.424608e-02","1.000000e+00"
"13378","206647_at"," 2.534363e+00","2.426204e-02","1.000000e+00"
"13379","206648_at"," 7.006987e-02","9.447387e-01","1.000000e+00"
"13380","206649_s_at","-2.836712e+00","1.116285e-02","1.000000e+00"
"13381","206650_at"," 2.087485e+00","5.603224e-02","1.000000e+00"
"13382","206651_s_at","-3.606627e-01","7.240675e-01","1.000000e+00"
"13383","206653_at"," 9.710829e-01","3.494129e-01","1.000000e+00"
"13384","206654_s_at"," 2.247438e+00","4.229903e-02","1.000000e+00"
"13385","206658_at"," 5.851009e-01","5.666694e-01","1.000000e+00"
"13386","206659_at"," 1.924230e+00","6.335858e-02","1.000000e+00"
"13387","206661_at","-5.363717e-01","5.987128e-01","1.000000e+00"
"13388","206662_at","-4.130581e-01","6.854805e-01","1.000000e+00"
"13389","206663_at"," 2.940149e-01","7.720985e-01","1.000000e+00"
"13390","206664_at"," 6.087686e+00","8.854687e-07","3.798484e-02"
"13391","206665_s_at","-2.984917e-01","7.702633e-01","1.000000e+00"
"13392","206666_at","-2.752202e+00","1.675527e-02","1.000000e+00"
"13393","206667_s_at","-2.416635e-01","8.115116e-01","1.000000e+00"
"13394","206668_s_at"," 7.340447e-01","4.727150e-01","1.000000e+00"
"13395","206669_at"," 2.464787e+00","2.291002e-02","1.000000e+00"
"13396","206670_s_at"," 1.374877e+00","1.850777e-01","1.000000e+00"
"13397","206671_at"," 1.089758e+00","2.882595e-01","1.000000e+00"
"13398","206672_at"," 5.961401e-01","5.614226e-01","1.000000e+00"
"13399","206675_s_at","-4.380380e-01","6.657556e-01","1.000000e+00"
"13400","206676_at"," 2.195686e+00","3.621016e-02","1.000000e+00"
"13401","206678_at"," 1.308748e+00","2.107054e-01","1.000000e+00"
"13402","206679_at"," 5.413158e-01","5.964563e-01","1.000000e+00"
"13403","206680_at"," 2.277081e+00","3.875207e-02","1.000000e+00"
"13404","206681_x_at"," 2.406227e+00","2.237376e-02","1.000000e+00"
"13405","206682_at","-1.727150e-01","8.661733e-01","1.000000e+00"
"13406","206683_at"," 2.871626e+00","1.300672e-02","1.000000e+00"
"13407","206684_s_at"," 1.148006e+00","2.614551e-01","1.000000e+00"
"13408","206686_at"," 1.986057e+00","6.533747e-02","1.000000e+00"
"13409","206690_at"," 1.814914e+00","8.240149e-02","1.000000e+00"
"13410","206692_at"," 2.335008e+00","3.256239e-02","1.000000e+00"
"13411","206693_at"," 1.786242e+00","9.487399e-02","1.000000e+00"
"13412","206694_at"," 1.068276e+00","3.075946e-01","1.000000e+00"
"13413","206695_x_at","-7.804411e-01","4.476843e-01","1.000000e+00"
"13414","206696_at","-2.042135e-01","8.408751e-01","1.000000e+00"
"13415","206697_s_at"," 9.398100e-01","3.600992e-01","1.000000e+00"
"13416","206698_at"," 2.659154e+00","1.852929e-02","1.000000e+00"
"13417","206699_x_at"," 1.430332e+00","1.713039e-01","1.000000e+00"
"13418","206700_s_at","-7.117037e-01","4.860936e-01","1.000000e+00"
"13419","206701_x_at","-1.867675e+00","7.931363e-02","1.000000e+00"
"13420","206702_at","-4.792436e+00","5.216735e-04","1.000000e+00"
"13421","206704_at","-9.283732e-01","3.669048e-01","1.000000e+00"
"13422","206705_at"," 2.119945e+00","5.567171e-02","1.000000e+00"
"13423","206707_x_at","-3.390001e+00","4.980502e-03","1.000000e+00"
"13424","206708_at","-8.639735e-01","3.984375e-01","1.000000e+00"
"13425","206710_s_at","-6.369660e+00","3.909241e-07","1.679449e-02"
"13426","206711_at"," 2.538478e-01","8.019454e-01","1.000000e+00"
"13427","206713_at"," 4.098315e-01","6.875559e-01","1.000000e+00"
"13428","206714_at","-1.406042e-01","8.902225e-01","1.000000e+00"
"13429","206715_at","-6.624906e+00","3.026543e-05","1.000000e+00"
"13430","206716_at"," 9.021414e-01","3.807823e-01","1.000000e+00"
"13431","206717_at"," 6.979831e-01","4.936657e-01","1.000000e+00"
"13432","206718_at"," 1.506248e+00","1.447694e-01","1.000000e+00"
"13433","206719_at"," 2.874588e+00","7.154459e-03","1.000000e+00"
"13434","206720_at"," 1.915166e-01","8.508507e-01","1.000000e+00"
"13435","206721_at","-1.384992e+00","1.888456e-01","1.000000e+00"
"13436","206723_s_at"," 2.627587e+00","1.783315e-02","1.000000e+00"
"13437","206724_at","-9.082438e-01","3.809674e-01","1.000000e+00"
"13438","206726_at","-1.091496e+00","2.952613e-01","1.000000e+00"
"13439","206727_at"," 2.048615e+00","5.204460e-02","1.000000e+00"
"13440","206728_at"," 6.856074e-01","5.048513e-01","1.000000e+00"
"13441","206729_at","-1.303109e+00","2.051099e-01","1.000000e+00"
"13442","206730_at","-8.815961e-01","3.951966e-01","1.000000e+00"
"13443","206731_at"," 3.941129e-01","6.961638e-01","1.000000e+00"
"13444","206733_at"," 2.191027e+00","4.462118e-02","1.000000e+00"
"13445","206734_at","-4.921582e-02","9.614512e-01","1.000000e+00"
"13446","206735_at"," 6.702049e-01","5.109969e-01","1.000000e+00"
"13447","206736_x_at"," 2.811451e-01","7.816710e-01","1.000000e+00"
"13448","206737_at","-5.577926e-01","5.868203e-01","1.000000e+00"
"13449","206739_at"," 3.766107e-01","7.094794e-01","1.000000e+00"
"13450","206740_x_at"," 1.395499e+00","1.813663e-01","1.000000e+00"
"13451","206741_at"," 5.640026e-01","5.796615e-01","1.000000e+00"
"13452","206744_s_at"," 7.902908e-02","9.380633e-01","1.000000e+00"
"13453","206746_at"," 5.303224e-01","6.054018e-01","1.000000e+00"
"13454","206747_at"," 3.174453e+00","4.404843e-03","1.000000e+00"
"13455","206748_s_at","-2.142233e+00","4.185000e-02","1.000000e+00"
"13456","206750_at","-6.993921e-01","4.952974e-01","1.000000e+00"
"13457","206751_s_at"," 9.185682e-01","3.731034e-01","1.000000e+00"
"13458","206752_s_at"," 2.293757e+00","2.955043e-02","1.000000e+00"
"13459","206754_s_at"," 1.891300e+00","7.856584e-02","1.000000e+00"
"13460","206755_at"," 2.484304e+00","2.260595e-02","1.000000e+00"
"13461","206756_at","-3.089037e+00","5.830363e-03","1.000000e+00"
"13462","206757_at","-1.663903e+00","1.239439e-01","1.000000e+00"
"13463","206760_s_at"," 2.306080e+00","3.758753e-02","1.000000e+00"
"13464","206762_at","-4.036393e-01","6.933490e-01","1.000000e+00"
"13465","206763_at"," 5.829183e-01","5.702483e-01","1.000000e+00"
"13466","206764_x_at","-6.410233e-02","9.495346e-01","1.000000e+00"
"13467","206765_at"," 3.758354e-01","7.123400e-01","1.000000e+00"
"13468","206766_at","-1.931154e+00","7.294398e-02","1.000000e+00"
"13469","206767_at","-4.690982e+00","5.859671e-04","1.000000e+00"
"13470","206768_at"," 8.967029e-01","3.829541e-01","1.000000e+00"
"13471","206770_s_at"," 3.288388e+00","6.384996e-03","1.000000e+00"
"13472","206771_at"," 1.629164e+00","1.211973e-01","1.000000e+00"
"13473","206772_at","-7.645550e-01","4.602089e-01","1.000000e+00"
"13474","206773_at","-2.014078e+00","6.425832e-02","1.000000e+00"
"13475","206774_at"," 1.086224e+00","2.906658e-01","1.000000e+00"
"13476","206775_at","-2.973440e+00","9.435240e-03","1.000000e+00"
"13477","206776_x_at"," 2.045098e+00","5.602033e-02","1.000000e+00"
"13478","206777_s_at","-4.540815e-01","6.562949e-01","1.000000e+00"
"13479","206779_s_at"," 2.676969e+00","1.304141e-02","1.000000e+00"
"13480","206780_at"," 2.840963e-01","7.804211e-01","1.000000e+00"
"13481","206782_s_at"," 5.162584e-01","6.117277e-01","1.000000e+00"
"13482","206784_at"," 2.983814e+00","5.494758e-03","1.000000e+00"
"13483","206785_s_at","-3.863487e-01","7.055276e-01","1.000000e+00"
"13484","206786_at"," 2.272010e+00","3.998691e-02","1.000000e+00"
"13485","206787_at"," 2.322131e+00","3.231650e-02","1.000000e+00"
"13486","206788_s_at","-2.115315e-02","9.833740e-01","1.000000e+00"
"13487","206790_s_at"," 3.712686e+00","2.209913e-03","1.000000e+00"
"13488","206791_s_at"," 3.676731e-01","7.179245e-01","1.000000e+00"
"13489","206792_x_at","-2.379617e-01","8.150633e-01","1.000000e+00"
"13490","206793_at"," 3.319683e+00","3.686393e-03","1.000000e+00"
"13491","206794_at"," 3.712297e+00","9.818168e-04","1.000000e+00"
"13492","206795_at","-4.714145e-01","6.436095e-01","1.000000e+00"
"13493","206796_at","-6.842572e+00","1.909617e-05","8.091429e-01"
"13494","206797_at"," 3.358114e+00","4.702497e-03","1.000000e+00"
"13495","206799_at"," 1.867999e+00","7.626079e-02","1.000000e+00"
"13496","206800_at"," 9.841268e-01","3.390094e-01","1.000000e+00"
"13497","206801_at"," 1.274526e+00","2.166806e-01","1.000000e+00"
"13498","206802_at"," 6.992732e-01","4.962552e-01","1.000000e+00"
"13499","206803_at","-6.218084e-01","5.423304e-01","1.000000e+00"
"13500","206804_at","-1.510484e+00","1.556806e-01","1.000000e+00"
"13501","206805_at","-9.868362e-01","3.323199e-01","1.000000e+00"
"13502","206808_at"," 1.210728e+00","2.476552e-01","1.000000e+00"
"13503","206810_at"," 1.753290e-01","8.636260e-01","1.000000e+00"
"13504","206812_at"," 2.097625e-01","8.367779e-01","1.000000e+00"
"13505","206813_at","-2.150190e+00","5.097933e-02","1.000000e+00"
"13506","206814_at","-2.333867e-01","8.190672e-01","1.000000e+00"
"13507","206818_s_at","-1.369344e+00","1.863801e-01","1.000000e+00"
"13508","206819_at","-1.078227e+00","2.911281e-01","1.000000e+00"
"13509","206820_at"," 9.845990e-01","3.453821e-01","1.000000e+00"
"13510","206822_s_at","-2.133743e+00","5.235288e-02","1.000000e+00"
"13511","206824_at"," 1.963428e+00","6.883754e-02","1.000000e+00"
"13512","206825_at","-1.629129e+00","1.241840e-01","1.000000e+00"
"13513","206826_at"," 5.101344e-01","6.139666e-01","1.000000e+00"
"13514","206827_s_at"," 1.311740e+00","2.093599e-01","1.000000e+00"
"13515","206828_at"," 1.759827e+00","9.951973e-02","1.000000e+00"
"13516","206829_x_at","-6.864585e-01","4.995849e-01","1.000000e+00"
"13517","206830_at"," 7.429852e-01","4.669426e-01","1.000000e+00"
"13518","206831_s_at"," 2.958528e+00","6.295506e-03","1.000000e+00"
"13519","206832_s_at"," 1.270580e+00","2.182547e-01","1.000000e+00"
"13520","206833_s_at"," 2.944348e+00","8.838901e-03","1.000000e+00"
"13521","206834_at"," 9.028783e-01","3.790546e-01","1.000000e+00"
"13522","206835_at"," 1.680888e+00","1.063137e-01","1.000000e+00"
"13523","206836_at"," 2.301814e-01","8.204229e-01","1.000000e+00"
"13524","206837_at"," 1.087913e+00","2.888338e-01","1.000000e+00"
"13525","206838_at","-1.585601e+00","1.408659e-01","1.000000e+00"
"13526","206839_at"," 1.640319e+00","1.227969e-01","1.000000e+00"
"13527","206840_at","-6.135162e-01","5.502627e-01","1.000000e+00"
"13528","206841_at"," 2.584005e+00","1.792003e-02","1.000000e+00"
"13529","206842_at","-3.915563e-01","7.001087e-01","1.000000e+00"
"13530","206843_at","-6.083286e-02","9.519712e-01","1.000000e+00"
"13531","206844_at","-4.796537e-01","6.383880e-01","1.000000e+00"
"13532","206847_s_at"," 1.063002e+00","3.000546e-01","1.000000e+00"
"13533","206848_at"," 1.370799e-01","8.919946e-01","1.000000e+00"
"13534","206850_at"," 3.784174e-01","7.102089e-01","1.000000e+00"
"13535","206851_at","-2.530845e-01","8.037040e-01","1.000000e+00"
"13536","206852_at"," 4.274385e-01","6.719239e-01","1.000000e+00"
"13537","206853_s_at","-2.473266e+00","2.331387e-02","1.000000e+00"
"13538","206854_s_at","-7.692017e-01","4.535969e-01","1.000000e+00"
"13539","206856_at","-2.557516e+00","2.561270e-02","1.000000e+00"
"13540","206857_s_at","-7.628994e-01","4.542053e-01","1.000000e+00"
"13541","206858_s_at","-1.259871e+00","2.241241e-01","1.000000e+00"
"13542","206859_s_at","-1.258791e+00","2.387735e-01","1.000000e+00"
"13543","206861_s_at","-1.437987e+00","1.610704e-01","1.000000e+00"
"13544","206864_s_at"," 3.689008e-01","7.167014e-01","1.000000e+00"
"13545","206865_at"," 2.222974e+00","4.254930e-02","1.000000e+00"
"13546","206866_at"," 6.712435e-01","5.139776e-01","1.000000e+00"
"13547","206867_at"," 1.305172e+00","2.037420e-01","1.000000e+00"
"13548","206869_at"," 3.207512e+00","3.615068e-03","1.000000e+00"
"13549","206871_at"," 1.181485e-01","9.079597e-01","1.000000e+00"
"13550","206872_at"," 1.103459e+00","2.848506e-01","1.000000e+00"
"13551","206874_s_at","-8.469881e-01","4.101863e-01","1.000000e+00"
"13552","206875_s_at","-8.565112e-01","4.099189e-01","1.000000e+00"
"13553","206876_at"," 1.287813e+00","2.131733e-01","1.000000e+00"
"13554","206877_at","-5.484208e-01","5.923942e-01","1.000000e+00"
"13555","206878_at"," 1.194857e+00","2.493241e-01","1.000000e+00"
"13556","206879_s_at"," 5.513466e-03","9.956576e-01","1.000000e+00"
"13557","206880_at"," 3.102372e+00","6.228532e-03","1.000000e+00"
"13558","206881_s_at","-1.189806e+00","2.469420e-01","1.000000e+00"
"13559","206883_x_at"," 8.811863e-01","3.906677e-01","1.000000e+00"
"13560","206884_s_at","-1.395817e+00","1.884526e-01","1.000000e+00"
"13561","206885_x_at"," 5.489214e-01","5.909108e-01","1.000000e+00"
"13562","206886_x_at"," 3.735863e-01","7.147613e-01","1.000000e+00"
"13563","206887_at"," 9.742072e-01","3.413866e-01","1.000000e+00"
"13564","206890_at"," 1.011311e+00","3.301032e-01","1.000000e+00"
"13565","206891_at","-9.619517e-01","3.445757e-01","1.000000e+00"
"13566","206892_at"," 2.027678e+00","6.472069e-02","1.000000e+00"
"13567","206895_at","-6.735138e-01","5.106052e-01","1.000000e+00"
"13568","206897_at"," 2.659750e+00","1.710083e-02","1.000000e+00"
"13569","206898_at","-2.111203e+00","6.195079e-02","1.000000e+00"
"13570","206899_at"," 2.483906e+00","2.044330e-02","1.000000e+00"
"13571","206900_x_at"," 3.242964e+00","4.912172e-03","1.000000e+00"
"13572","206902_s_at"," 4.428879e-01","6.628104e-01","1.000000e+00"
"13573","206903_at"," 7.943584e-01","4.377076e-01","1.000000e+00"
"13574","206904_at"," 1.490562e+00","1.554917e-01","1.000000e+00"
"13575","206905_s_at"," 2.599433e-01","7.972416e-01","1.000000e+00"
"13576","206907_at","-1.789052e-01","8.604602e-01","1.000000e+00"
"13577","206908_s_at"," 4.051636e-01","6.910305e-01","1.000000e+00"
"13578","206909_at","-5.845982e-01","5.668807e-01","1.000000e+00"
"13579","206912_at"," 1.102873e+00","2.878298e-01","1.000000e+00"
"13580","206913_at"," 2.585896e+00","1.478403e-02","1.000000e+00"
"13581","206914_at","-2.527622e+00","3.041461e-02","1.000000e+00"
"13582","206915_at"," 2.148433e+00","3.985019e-02","1.000000e+00"
"13583","206916_x_at","-1.884133e-01","8.529954e-01","1.000000e+00"
"13584","206917_at","-6.882041e-01","5.014247e-01","1.000000e+00"
"13585","206918_s_at","-3.316002e-01","7.448203e-01","1.000000e+00"
"13586","206919_at","-1.768225e-01","8.625197e-01","1.000000e+00"
"13587","206921_at"," 2.271713e-01","8.226829e-01","1.000000e+00"
"13588","206924_at","-2.034433e+00","6.655045e-02","1.000000e+00"
"13589","206925_at","-3.328688e+00","7.208887e-03","1.000000e+00"
"13590","206926_s_at"," 7.847590e-01","4.412962e-01","1.000000e+00"
"13591","206928_at"," 1.411833e+00","1.757106e-01","1.000000e+00"
"13592","206930_at"," 3.316204e-01","7.450699e-01","1.000000e+00"
"13593","206931_at"," 1.350928e+00","1.879636e-01","1.000000e+00"
"13594","206932_at","-3.064246e+00","7.138368e-03","1.000000e+00"
"13595","206933_s_at"," 1.123705e+00","2.728741e-01","1.000000e+00"
"13596","206934_at","-1.208321e-01","9.055523e-01","1.000000e+00"
"13597","206935_at"," 5.386857e-01","5.958759e-01","1.000000e+00"
"13598","206936_x_at","-4.874479e-01","6.310680e-01","1.000000e+00"
"13599","206937_at","-7.114354e-01","4.893052e-01","1.000000e+00"
"13600","206938_at"," 6.688676e-02","9.475244e-01","1.000000e+00"
"13601","206939_at","-3.896387e-01","7.043562e-01","1.000000e+00"
